City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Hojai,IN,26.0,92.8667,56.89,70,48,0.4,scattered clouds
230,Nemuro,JP,43.3236,145.575,24.66,96,100,11.9,overcast clouds
231,Coahuayana,MX,18.7333,-103.6833,78.8,61,1,5.28,clear sky
232,Marrakesh,MA,31.6315,-8.0083,48.2,87,75,6.91,broken clouds
233,Sinnamary,GF,5.3833,-52.95,77.72,86,100,13.53,overcast clouds
234,Puro,PH,12.4841,123.3827,78.12,86,56,9.8,broken clouds
235,Victoria,HK,22.2855,114.1577,64.99,63,0,6.15,clear sky
236,Laguna,US,38.421,-121.4238,66.0,48,1,4.61,clear sky
237,Zyryanka,RU,65.75,150.85,-20.22,83,53,8.68,broken clouds
238,Anadyr,RU,64.75,177.4833,-5.01,77,0,5.7,clear sky
239,Svetlogorsk,BY,52.6333,29.7333,1.24,93,13,5.44,few clouds
240,Matay,EG,28.419,30.7792,56.25,65,0,7.45,clear sky
241,Brae,GB,60.3964,-1.353,33.8,60,90,18.41,overcast clouds
242,Hofn,IS,64.2539,-15.2082,32.9,92,98,18.37,light snow
243,Elizabeth City,US,36.2946,-76.2511,46.0,53,1,5.75,clear sky
244,Bertoua,CM,4.5833,13.6833,69.17,34,6,0.94,clear sky
245,Gorele,TR,41.0308,39.0031,53.6,50,0,12.66,clear sky
246,Riyadh,SA,24.6877,46.7219,57.2,72,0,8.05,clear sky
247,Usinsk,RU,65.9939,57.5281,-33.88,81,98,13.6,overcast clouds
248,Kolomak,UA,49.8399,35.3044,12.02,87,79,10.89,broken clouds
249,Kimbe,PG,-5.5502,150.1429,83.23,79,87,1.3,overcast clouds
250,Ketchikan,US,55.3422,-131.6461,37.4,87,40,10.36,scattered clouds
251,Athabasca,CA,54.7169,-113.2854,-13.0,64,99,2.3,overcast clouds
252,Kununurra,AU,-15.7667,128.7333,80.6,94,100,5.75,overcast clouds
253,Jyvaskyla,FI,62.2415,25.7209,12.99,92,90,10.36,light snow
254,Ilo,PE,-17.6394,-71.3375,71.02,79,99,3.47,overcast clouds
255,Ashcroft,CA,50.7165,-121.2859,41.0,56,75,12.66,broken clouds
256,Yamada,JP,39.4667,141.95,38.7,87,91,3.65,overcast clouds
257,Buraydah,SA,26.326,43.975,50.0,100,75,5.75,broken clouds
258,Mahon,ES,39.8885,4.2658,57.2,82,0,8.05,light rain
259,Torrijos,ES,39.9819,-4.2835,51.01,71,100,5.95,overcast clouds
260,Gotsu,JP,35.0,132.2167,51.94,78,10,15.7,clear sky
261,Eufaula,US,31.8913,-85.1455,45.0,81,90,5.75,overcast clouds
262,Korla,CN,41.7597,86.1469,25.59,86,0,2.62,clear sky
263,Cap Malheureux,MU,-19.9842,57.6142,75.99,85,10,1.99,clear sky
264,Tramore,IE,52.1624,-7.1524,41.0,86,32,4.0,scattered clouds
265,Tecoanapa,MX,16.5167,-98.75,82.94,60,14,9.8,few clouds
266,Kenai,US,60.5544,-151.2583,18.0,86,90,8.05,mist
267,Constitucion,CL,-35.3333,-72.4167,61.5,83,46,5.57,scattered clouds
268,Trincomalee,LK,8.5711,81.2335,78.58,83,36,12.06,scattered clouds
269,Ixmiquilpan,MX,20.4833,-99.2333,82.38,14,0,15.1,clear sky
270,Kailua,US,21.4022,-157.7394,78.8,47,20,8.05,few clouds
271,Adrar,MR,20.5022,-10.0711,57.72,38,98,9.15,overcast clouds
272,Mayumba,GA,-3.432,10.6554,79.75,81,100,1.9,overcast clouds
273,Tanete,ID,-3.9443,119.7848,77.49,86,100,1.77,overcast clouds
274,Ifanadiana,MG,-21.3,47.6333,71.11,92,100,1.92,overcast clouds
275,Soligalich,RU,59.0778,42.2864,-6.95,89,100,9.66,overcast clouds
276,Bud,US,39.447,-86.1758,26.01,62,100,2.84,overcast clouds
277,Meulaboh,ID,4.1363,96.1285,75.67,91,80,5.86,broken clouds
278,Asau,RO,46.4333,26.4,28.0,73,100,3.49,overcast clouds
279,Auki,SB,-8.7676,160.7034,79.41,87,100,8.77,light rain
280,Jizan,SA,17.3333,42.6667,71.6,78,0,2.95,clear sky
281,Awbari,LY,26.5921,12.7805,64.51,25,15,14.41,few clouds
282,Verkhoyansk,RU,67.5447,133.385,-23.64,84,100,1.19,overcast clouds
283,Coos Bay,US,43.3665,-124.2179,51.01,76,90,3.44,overcast clouds
284,Bangkalan,ID,-7.0455,112.7351,77.0,88,20,8.05,haze
285,Longyearbyen,SJ,78.2186,15.6401,19.4,79,75,11.5,broken clouds
286,Spassk,RU,52.747,87.7545,20.35,96,1,4.23,clear sky
287,Sisimiut,GL,66.9395,-53.6735,19.89,79,14,20.22,few clouds
288,Kloulklubed,PW,7.0419,134.2556,78.8,94,90,10.36,overcast clouds
289,Campoverde,PE,-8.4753,-74.8058,84.2,70,20,4.61,few clouds
290,Finale Ligure,IT,44.1695,8.3436,57.0,66,100,8.99,light rain
291,Acapulco,MX,16.8634,-99.8901,84.2,61,1,9.22,clear sky
292,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,73.63,94,100,8.12,light rain
293,Surt,LY,31.2089,16.5887,66.85,35,36,14.63,scattered clouds
294,Stepnyak,KZ,52.8339,70.7803,32.23,98,100,27.29,light snow
295,Lagoa,PT,39.05,-27.9833,60.21,89,100,26.17,overcast clouds
296,Phalodi,IN,27.1333,72.3667,57.2,35,0,6.55,clear sky
297,Clyde River,CA,70.4692,-68.5914,-13.0,84,1,2.3,clear sky
298,Seymchan,RU,62.8833,152.4333,-17.52,85,98,1.25,overcast clouds
299,Gat,IL,31.61,34.7642,57.0,100,1,2.1,clear sky
300,Diamantino,BR,-14.4086,-56.4461,77.77,76,45,2.64,scattered clouds
301,Belaya Gora,RU,68.5333,146.4167,-33.18,84,25,1.23,scattered clouds
302,Kaitangata,NZ,-46.2817,169.8464,64.0,73,1,5.01,clear sky
303,Ajdabiya,LY,30.7554,20.2263,62.24,41,31,11.7,scattered clouds
304,Banjar,ID,-8.19,114.9675,77.0,94,20,1.14,few clouds
305,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,100,90,16.11,snow
306,Bonavista,CA,48.6499,-53.1147,35.01,100,100,3.44,light rain
307,Bathsheba,BB,13.2167,-59.5167,77.0,73,20,17.27,few clouds
308,Kankon,IN,15.0167,74.0167,73.4,83,70,2.3,broken clouds
309,Bonthe,SL,7.5264,-12.505,79.21,79,68,7.58,broken clouds
310,Fleetwood,GB,53.9253,-3.0109,39.0,91,64,14.0,broken clouds
311,Ciudad Guayana,VE,8.3533,-62.6528,80.01,77,100,4.0,overcast clouds
312,Djambala,CG,-2.5447,14.7533,71.2,87,51,5.26,moderate rain
313,Albanel,CA,48.8832,-72.4487,21.2,63,97,13.8,overcast clouds
314,Fuengirola,ES,36.54,-4.6247,54.0,82,40,2.3,scattered clouds
315,Onega,RU,63.9061,38.1404,-0.85,92,90,5.44,overcast clouds
316,Misratah,LY,32.3754,15.0925,67.51,44,87,15.12,overcast clouds
317,Rawson,AR,-43.3002,-65.1023,59.63,68,87,24.16,overcast clouds
318,Guerrero Negro,MX,27.9769,-114.0611,72.01,35,3,10.8,clear sky
319,Fairbanks,US,64.8378,-147.7164,-5.01,77,90,0.27,snow
320,Dingle,PH,10.9995,122.6711,75.6,91,86,8.19,overcast clouds
321,Ambilobe,MG,-13.2,49.05,73.31,94,99,2.01,overcast clouds
322,Kasongo-Lunda,CD,-6.4667,16.8167,72.43,89,100,1.05,light rain
323,Sur,OM,22.5667,59.5289,62.67,64,0,6.44,clear sky
324,Alofi,NU,-19.0595,-169.9187,84.2,79,100,11.5,moderate rain
325,Palmer,US,42.1584,-72.3287,35.6,35,20,8.05,few clouds
326,Rehoboth,NA,-23.3167,17.0833,75.9,19,13,10.42,few clouds
327,Srednekolymsk,RU,67.45,153.6833,-17.61,84,16,2.1,few clouds
328,Celestun,MX,20.8667,-90.4,77.14,73,0,10.02,clear sky
329,Mogadishu,SO,2.0371,45.3438,76.28,81,20,17.25,few clouds
330,Boyolangu,ID,-8.1181,111.8935,74.23,88,60,6.42,broken clouds
331,Oak Ridge,US,36.0104,-84.2696,46.0,49,90,3.44,overcast clouds
332,Ushtobe,KZ,45.2514,77.9838,37.11,77,100,12.17,moderate rain
333,Luderitz,NA,-26.6481,15.1594,70.3,57,0,21.43,clear sky
